,ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,pred_MPNN_40,pred_MPNN_85,pred_MPNN_16
26,3987532,['Tma' 'Phe' 'Tmb'],"[55, 0, 45]",[0.49422336 0.25242524 0.2533514 ],0.38894299696486945,55,0,0,0,0,20,0,0,0,0,0,25,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.6068539023399353,0.9665805101394652,0.1490052640438079
27,4826038,['Tma' 'Aeg' 'Mep' 'Ni'],"[35, 55, 10]",[0.11183131 0.15999066 0.59198945 0.13618858],0.29150191972214806,15,20,0,55,10,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CC(C)NC(=O)C=C']",0.9901579022407532,0.995352268218994,0.4940313100814819
28,5021544,['Tma' 'Aeg' 'Mo' 'Phe'],"[50, 10, 40]",[0.2453287  0.17548887 0.11974191 0.45944052],0.526479743922566,30,20,10,0,0,40,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1']",0.994743585586548,0.9991927742958068,0.2486886382102966
29,5085023,['Tma' 'Aeg' 'Phe' 'Olam'],"[55, 0, 45]",[0.30209117 0.18522195 0.48492232 0.02776456],0.26735435479268593,35,20,0,0,0,40,0,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999725818634032,0.998538374900818,0.5600485801696777
30,5485790,['Tma' 'Aeg' 'Mo' 'Phe' 'Olam'],"[30, 30, 40]",[0.08885737 0.19068474 0.39033168 0.18720909 0.14291712],0.5051024607124198,10,20,30,0,0,15,0,0,0,25,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999977350234984,0.2115344554185867,0.9435214996337892
31,5493433,['Tma' 'Mo' 'Phe' 'Olam'],"[35, 20, 45]",[0.29196197 0.24429091 0.4100799  0.05366721],0.33937053819056234,35,0,20,0,0,35,0,0,0,10,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.999745786190033,0.9988790154457092,0.4657081961631775
32,5754382,['Tma' 'Aeg' 'Mo' 'Olam' 'Tmb'],"[50, 5, 45]",[0.44479667 0.05302876 0.07236659 0.09538741 0.33442057],0.24783904649574437,45,5,5,0,0,0,0,0,0,15,0,30,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.9999958276748656,0.9999980926513672,0.5929113626480103
33,5815457,['Tma' 'Aeg' 'Mo' 'Tmb'],"[45, 45, 10]",[0.20221755 0.17358065 0.53297939 0.09122241],0.3697177183488796,25,20,45,0,0,0,0,0,0,0,0,10,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.3941271901130676,0.9432570934295654,0.149622842669487
34,5820893,['Tma' 'Aeg' 'Mo' 'Phe' 'Tmb'],"[55, 10, 35]",[0.34976847 0.14073574 0.12803825 0.18422736 0.19723018],0.3682265409254297,40,15,10,0,0,15,0,0,0,0,0,20,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.8142595887184143,0.9979801774024964,0.2721489071846008
35,6098055,['Tma' 'Mep' 'Do' 'Olam'],"[35, 20, 45]",[0.3599822  0.29697652 0.17761528 0.165426  ],0.33553917585065074,35,0,0,20,0,0,20,0,0,25,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999985694885254,0.3203020691871643,0.818499743938446
36,6104193,['Tma' 'Aeg' 'Mep' 'Do' 'Olam'],"[40, 15, 45]",[0.2097147  0.22502012 0.22707497 0.13580867 0.20238154],0.2297079459055388,20,20,0,15,0,0,15,0,0,30,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.9999994039535522,0.9999754428863524,0.6186323761940002
37,6325151,['Tma' 'Aeg' 'Mep' 'Do' 'Tmb'],"[30, 25, 45]",[0.09060231 0.1944293  0.32700801 0.23469176 0.15326861],0.33840280762830455,10,20,0,25,0,0,30,0,0,0,0,15,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.9999929666519164,0.4719362258911133,0.9999364614486694
38,6841523,['Tma' 'Aeg' 'Mep' 'Oct' 'Bmam'],"[55, 20, 25]",[0.43742869 0.04693532 0.25260759 0.14799643 0.11503198],0.2288607918329896,50,5,0,20,0,0,0,0,15,0,10,0,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CCCCCCCCNC(=O)C=C', 'C=CC(=O)NCCCC']",0.9935897588729858,0.9978858828544616,0.5938229560852051
39,6965828,['Tma' 'Aeg' 'Tmb'],"[80, 0, 20]",[0.72871834 0.05212678 0.21915488],0.3065644592548736,75,5,0,0,0,0,0,0,0,0,0,20,"['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']",0.6563456654548645,0.4351795017719269,0.0001224664301844
