ID,monomers,class_distribution,mol_distribution,KLdiv,Tma_wt,Aeg_wt,Mo_wt,Mep_wt,Ni_wt,Phe_wt,Do_wt,Bam_wt,Oct_wt,Olam_wt,Bmam_wt,Tmb_wt,SMILES,prob_class0_model_20,prob_class1_model_20,prob_class2_model_20,prob_class0_model_29,prob_class1_model_29,prob_class2_model_29,prob_class0_model_41,prob_class1_model_41,prob_class2_model_41,prob_class0_model_44,prob_class1_model_44,prob_class2_model_44,prob_class0_model_82,prob_class1_model_82,prob_class2_model_82,mean_class0,mean_class1,mean_class2
500209,"['Tma', 'Mo', 'Mep', 'Ni']","[60, 20, 20]","[0.4780456193062646, 0.058332040546148836, 0.1725394782211167, 0.29108286192646976]",0.3095079223154936,60,0,5,15,20,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.0020040239,0.2619394,0.73605657,1.8119366e-06,0.1557316,0.84426665,0.00452736,0.94239855,0.053074073,0.00022206212,0.047244627,0.95253325,0.00020436653,0.0040451284,0.9957504,0.001391925,0.28227186,0.7163362
500218,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.5030108483986006, 0.12275669107279018, 0.12103339906932382, 0.07657105902591811, 0.1766280024333674]",0.3025636005126211,60,0,10,10,5,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00052205217,0.22345994,0.776018,1.168623e-06,0.11511546,0.8848834,0.0021557822,0.91800874,0.07983548,0.00010283563,0.039757032,0.9601401,7.547118e-08,0.002930838,0.99706906,0.0005563828,0.2598544,0.7395893
500221,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.49426480391971667, 0.1206222729312704, 0.11892894447344209, 0.15047937672063838, 0.11570460195493266]",0.2927695717305437,60,0,10,10,10,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.001046718,0.23578449,0.7631688,1.2650354e-06,0.11950228,0.8804965,0.002611233,0.9063609,0.09102781,0.00010235672,0.038344316,0.9615534,8.522425e-07,0.0046000434,0.9953992,0.000752485,0.2609184,0.7383292
500223,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.48581770331473545, 0.1185608101959682, 0.11689642111583201, 0.22186147369253484, 0.05686359168092964]",0.3043653320766341,60,0,10,10,15,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0014324115,0.2584954,0.7400722,1.4971711e-06,0.13706726,0.86293125,0.0028455062,0.92893404,0.06822041,9.849888e-05,0.036838427,0.9630631,1.5005138e-05,0.006003739,0.9939812,0.0008785838,0.27346778,0.7256536
500224,"['Tma', 'Mo', 'Mep', 'Ni']","[60, 20, 20]","[0.47765447706398556, 0.11656862524367367, 0.11493220300076414, 0.2908446946915767]",0.3268626011730203,60,0,10,10,20,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.0020309482,0.26635152,0.73161745,1.4107111e-06,0.13507254,0.86492604,0.012306818,0.94717854,0.040514708,0.00010999731,0.03689665,0.9629933,0.00032605068,0.0047708824,0.9949031,0.002955045,0.27805403,0.7189909
500238,"['Tma', 'Mo', 'Mep', 'Ni', 'Phe']","[60, 20, 20]","[0.4854137446467664, 0.17769333986670874, 0.058399610720732104, 0.22167699530738133, 0.056816309458411526]",0.2873194725401501,60,0,15,5,15,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0016258882,0.2500424,0.74833167,1.2317172e-06,0.116151504,0.88384724,0.0070776776,0.94832444,0.044597827,0.02576552,0.34272802,0.63150644,8.454121e-06,0.0038369265,0.9961546,0.0068957536,0.33221665,0.6608876
500239,"['Tma', 'Mo', 'Mep', 'Ni']","[60, 20, 20]","[0.47726397437228446, 0.17470998821012773, 0.05741912053737423, 0.2906069168802136]",0.32438931908992735,60,0,15,5,20,0,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C']",0.002550518,0.2719858,0.7254637,1.3404277e-06,0.12633108,0.87366754,0.011134835,0.94850665,0.040358536,0.000109059314,0.03676896,0.96312195,0.00061047246,0.009888305,0.9895013,0.0028812452,0.27869612,0.7184226
500241,"['Tma', 'Mo', 'Phe', 'Olam']","[60, 20, 20]","[0.5662598782902551, 0.2763844524128797, 0.06627912133438577, 0.09107654796247949]",0.535833985187649,60,0,20,0,0,5,0,0,0,15,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.002302709,0.256776,0.74092126,1.6921152e-35,2.9637891e-21,1.0,0.0003081727,0.10660747,0.89308435,0.9811148,0.0056246277,0.013260558,1.16394366e-29,8.080131e-24,1.0,0.19674513,0.07380162,0.7294532
500248,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 20, 20]","[0.5021455050651451, 0.24509101875284214, 0.07643933173678578, 0.17632414444522687]",0.28541244408662053,60,0,20,0,5,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00069193693,0.23083557,0.7684725,1.0263598e-06,0.09555311,0.90444577,0.002466114,0.91751593,0.08001789,0.00086052757,0.10132652,0.897813,2.4180378e-07,0.004454374,0.9955454,0.00080396933,0.2699371,0.7292589
500250,"['Tma', 'Mo', 'Ni', 'Phe', 'Olam']","[60, 20, 20]","[0.5093727958701791, 0.2486185701266198, 0.15507901884400366, 0.05962064881561275, 0.027308966343584585]",0.3090035729915662,60,0,20,0,10,5,0,0,0,5,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']",0.005520044,0.30238724,0.6920927,1.5331137e-35,2.3859544e-21,1.0,7.511781e-05,0.0615295,0.9383954,0.4386359,0.35099658,0.21036759,1.9687067e-28,9.3205604e-24,1.0,0.08884621,0.14298266,0.76817113
500251,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 20, 20]","[0.4934292661015016, 0.24083673017364743, 0.1502249964590571, 0.11550900726579398]",0.2759052126197311,60,0,20,0,10,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0014845919,0.2549185,0.7435969,1.1820142e-06,0.10876075,0.89123803,0.004965894,0.9371559,0.057878226,0.014911602,0.28192422,0.70316416,4.894368e-07,0.0054495074,0.99455005,0.004272752,0.3176418,0.67808545
500253,"['Tma', 'Mo', 'Ni', 'Phe']","[60, 20, 20]","[0.4850104572060099, 0.2367276135369987, 0.2214928234558464, 0.05676910580114511]",0.2905803126336287,60,0,20,0,15,5,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.0012707526,0.25178593,0.7469433,1.1915174e-06,0.109327905,0.89067096,0.008635653,0.93716425,0.054200098,0.0032927354,0.14459856,0.8521087,0.00010270297,0.0044564344,0.99544096,0.0026606072,0.28946662,0.70787275
500258,"['Tma', 'Mep', 'Phe']","[60, 25, 15]","[0.5121150513059191, 0.3080600824586957, 0.17982486623538518]",0.3130614649796023,60,0,0,25,0,15,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00039513534,0.19857761,0.80102724,1.0575484e-06,0.11400869,0.88599026,0.0024176023,0.9308905,0.06669192,8.804305e-05,0.0362934,0.9636186,1.1553565e-07,0.0051786653,0.9948212,0.00058039074,0.25698978,0.74242985
500261,"['Tma', 'Mep', 'Ni', 'Phe']","[60, 25, 15]","[0.5030523971460559, 0.3026084911011233, 0.07657738380321463, 0.11776172794960614]",0.29885379582877314,60,0,0,25,5,10,0,0,0,0,0,0,"['C[N+](C)(C)CCCNC(=O)C=C', 'COCCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']",0.00055610045,0.20832139,0.79112244,1.1725572e-06,0.1255714,0.87442744,0.0026316019,0.91410506,0.08326336,8.560408e-05,0.034762442,0.965152,5.3355785e-07,0.005532917,0.9944665,0.00065500254,0.25765866,0.7416864
