ID,pred
1669_1,0.08608824759721756
4405_1,0.9999998807907104
2513_1,0.08692314475774765
1874_1,0.05060463026165962
948_1,0.9953328967094421
3525_1,0.9997099041938782
2629_1,0.1681438684463501
4087_1,0.609487771987915
2785_1,0.10227353870868683
430_1,0.978303849697113
739_1,0.997018575668335
2963_1,0.9535028338432312
2395_1,0.04955853149294853
486_1,0.8345925807952881
3297_1,0.9999173879623413
2632_1,0.09423082321882248
2456_1,0.1749594658613205
3136_1,0.9585263133049011
4332_1,0.9972133040428162
3779_1,0.875365674495697
2584_1,0.09178988635540009
2290_1,0.9192590117454529
1336_1,0.019160054624080658
2498_1,0.11100304871797562
385_1,0.07927019894123077
3353_1,0.999591052532196
4312_1,0.9961840510368347
4112_1,0.9913034439086914
4070_1,0.9744737148284912
1519_1,0.011176860891282558
3458_1,0.9998674392700195
1583_1,0.019397340714931488
1337_1,0.013361664488911629
4039_1,0.6113318800926208
477_1,0.09767436981201172
1656_1,0.10607463866472244
2794_1,0.08853528648614883
4537_1,0.04503835365176201
2344_1,0.9834685325622559
20_1,0.1828356385231018
3914_1,0.9747971296310425
1258_1,0.01152900792658329
748_1,0.9745600819587708
1585_1,0.009363477118313313
1875_1,0.09460219740867615
1549_1,0.013007156550884247
967_1,0.9994858503341675
1471_1,0.010051291435956955
1554_1,0.0135247353464365
975_1,0.9953386783599854
2535_1,0.06879517436027527
1448_1,0.013590886257588863
3154_1,0.9889230728149414
949_1,0.9992768168449402
1687_1,0.03509767726063728
3266_1,0.9991605281829834
4092_1,0.9790239334106445
836_1,0.9998084902763367
4148_1,0.9483262896537781
3087_1,0.9978037476539612
2927_1,0.9691981673240662
2068_1,0.9700263142585754
761_1,0.9750322699546814
1681_1,0.09718441963195801
158_1,0.1168515756726265
1761_1,0.8697226643562317
1756_1,0.07823136448860168
3121_1,0.9929787516593933
2176_1,0.9996612071990967
2833_1,0.7208718061447144
2211_1,0.2500820457935333
1831_1,0.08947224169969559
4476_1,0.999983549118042
1642_1,0.12325317412614822
3161_1,0.8657280802726746
1435_1,0.01241970807313919
2151_1,0.12261272966861725
4462_1,0.9984747767448425
3376_1,0.9995119571685791
2897_1,0.930992066860199
3522_1,0.9994283318519592
1485_1,0.0128663694486022
763_1,0.9948021173477173
91_1,0.06982973217964172
907_1,0.9999620914459229
2869_1,0.7543975710868835
1269_1,0.009082444943487644
2190_1,0.9841085076332092
3702_1,0.994282603263855
687_1,0.16472971439361572
3372_1,0.9991204142570496
3662_1,0.9955834746360779
700_1,0.8708406090736389
825_1,0.9976822137832642
2840_1,0.9967036843299866
3962_1,0.9751566052436829
953_1,0.998367965221405
1869_1,0.15060006082057953
3821_1,0.8192887306213379
3221_1,0.9882038831710815
1637_1,0.33426982164382935
832_1,0.9977313876152039
2318_1,0.9787715077400208
3516_1,0.9988707900047302
1784_1,0.05956651270389557
446_1,0.5618574619293213
2746_1,0.04212478920817375
1429_1,0.01871480979025364
3903_1,0.9964480400085449
2088_1,0.028789585456252098
1648_1,0.1476910263299942
588_1,0.8302913904190063
2416_1,0.06598544865846634
2913_1,0.9776238203048706
695_1,0.9908402562141418
1212_1,0.004311131313443184
2662_1,0.08308950066566467
3155_1,0.9848105311393738
2598_1,0.1013704463839531
12_1,0.07388950139284134
1515_1,0.010228036902844906
3312_1,0.9993282556533813
1368_1,0.03153441473841667
1420_1,0.015416430309414864
995_1,0.9969261288642883
133_1,0.22582842409610748
4572_1,1.0
2583_1,0.09886546432971954
3381_1,0.9992465972900391
4020_1,0.9951667785644531
3226_1,0.9998478889465332
2028_1,0.15059800446033478
3016_1,0.9971355199813843
1796_1,0.0490238182246685
1261_1,0.010732575319707394
1702_1,0.03746525198221207
161_1,0.046440672129392624
605_1,0.6338782906532288
2283_1,0.059336815029382706
727_1,0.9942429661750793
315_1,0.0322568416595459
441_1,0.9844626188278198
2652_1,0.041970714926719666
848_1,0.991980791091919
1379_1,0.009213387034833431
2679_1,0.074198417365551
3035_1,0.9884527325630188
3006_1,0.46625664830207825
3936_1,0.2024637907743454
1852_1,0.18341530859470367
3456_1,0.9995694756507874
4186_1,0.9958180785179138
3232_1,0.9999102354049683
2373_1,0.41666656732559204
4160_1,0.9310885667800903
690_1,0.9988338351249695
2884_1,0.9768573045730591
1717_1,0.11561010032892227
3921_1,0.8505849242210388
2150_1,0.9907572865486145
2864_1,0.5134564638137817
1461_1,0.023675866425037384
1262_1,0.019931821152567863
3881_1,0.21994201838970184
840_1,0.9999837875366211
1090_1,0.998731791973114
1537_1,0.010923265479505062
3812_1,0.987608015537262
3720_1,0.9436198472976685
3737_1,0.9940418601036072
1170_1,0.994057297706604
4236_1,0.9937402009963989
729_1,0.9447172284126282
637_1,0.6777684092521667
3831_1,0.961771547794342
988_1,0.9970491528511047
4395_1,0.9874656796455383
1612_1,0.3004651963710785
4091_1,0.9968159794807434
2574_1,0.05124862492084503
2309_1,0.09684275835752487
1146_1,0.9983192086219788
1547_1,0.01911458745598793
2617_1,0.06633942574262619
1532_1,0.015085977502167225
1855_1,0.12145402282476425
4072_1,0.9444345831871033
335_1,0.0831102654337883
3531_1,0.999721348285675
1127_1,0.9838029146194458
910_1,0.9994087219238281
1175_1,0.9993956089019775
1505_1,0.009160079061985016
1508_1,0.008692191913723946
3368_1,0.9999630451202393
3024_1,0.9943376183509827
4371_1,0.9982795715332031
2734_1,0.1053050234913826
