,poly_ID,monomers,mon_SMILES,mon_mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50,Mw,MIC_ecoli_uM
10,11,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.8251748414307326, 0.1120008096186611, 0.06282434895060626]",70,32.26890756302521,32,<50,11.9,32.3
11,12,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.8259032429910733, 0.11209967541096302, 0.06199708159796359]",70,21.15702479338843,32,>2000,12.1,21.2
12,13,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",115,471.6509433962264,128,>8000,21.2,>24.2
13,14,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4549454859354751, 0.43169677376239013, 0.11335774030213468]",115,454.5,>512,>8000,22.0,>23.3
14,15,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.5044570496588803, 0.368058869011033, 0.12748408133008668]",115,17.066666666666666,128-256,>8000,22.5,17
15,16,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.5053614730538734, 0.3687187488800791, 0.1259197780660476]",115,13.333333333333334,>512,>8000,19.2,13.3
16,17,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.5878058277488345, 0.2636465684428655, 0.14854760380830015]",115,6.0663507109004735,32,4000-8000,21.1,6.1
17,18,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5890341712713527, 0.2641975132264877, 0.1467683155021596]",115,6.632124352331606,32,>8000,19.3,6.6
18,19,"['Tma', 'Bam', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4776777673797556, 0.4033003410382325, 0.11902189158201187]",70,662.1854304635762,>512,>8000,15.1,>33.9
19,20,"['Tma', 'Bmam', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCOCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5175485588976436, 0.3534950343525946, 0.12895640674976175]",70,16.623376623376622,>512,4000-8000,15.4,16.7
